county,year,litter,recycled,dumps,county_rd_miles,state_rd_miles
Hardin,2021-2022,44340,0,0,15.96666667,0
Hardin,2022-2023,62475,0,0,16.85333333,0
Hardin,2023-2024,76924,0,0,32.96,0
Hawkins,2019-2020,179310,0,1,42.69166667,0
Hawkins,2020-2021,158775,0,0,40.01666667,0
Hawkins,2021-2022,102084,0,0,24.71666667,0
Hawkins,2022-2023,107416,0,0,21.55,0
Hawkins,2023-2024,136476,0,0,22.35,0
Haywood,2019-2020,114140,50320,0,20.45833333,0
Haywood,2020-2021,148436,54520,0,19.83333333,0
Haywood,2021-2022,156800,57440,4,23.83333333,2.083333333
Haywood,2022-2023,98900,28520,10,19.25,0
Haywood,2023-2024,154160,51760,3,23,0
Henderson,2019-2020,114505,114505,15,27.00833333,0
Henderson,2020-2021,56084,56084,26,13.24166667,0
Henderson,2021-2022,36039,39594,0,61.13333333,0
Henderson,2022-2023,7449,6804,2,10.54166667,0
Henderson,2023-2024,3000,2556,0,6.166666667,0
Henry,2019-2020,52055,0,12,72.83333333,0
Henry,2020-2021,41860,0,1,77.33333333,0
Henry,2021-2022,42540,50,2,82.08333333,0
Henry,2022-2023,44500,0,4,64.33333333,1.666666667
Henry,2023-2024,23180.42,0,5,50.41666667,0
Hickman,2019-2020,344660,364060,634,7.225,2.008333333
Hickman,2020-2021,251060,217693,273,10.00833333,2.366666667
Hickman,2021-2022,74280,74280,5,26.01666667,6.333333333
Hickman,2022-2023,106799,103339,0,26.16666667,6.166666667
Hickman,2023-2024,53410,51390,0,41.41666667,18.41666667
Houston,2019-2020,36103,1532,11,36,16.66666667
Houston,2020-2021,2368,2400,12,90.16666667,0
Houston,2021-2022,1633,0,9,68.41666667,0
Houston,2022-2023,3241,0,0,65.15833333,0
Houston,2023-2024,2375.5,0,0,75.34583333,0
Humphreys,2019-2020,27302,0,2,4.675,306.625
Humphreys,2020-2021,73572,0,12,7.15,0
Humphreys,2021-2022,344770,0,0,32.86666667,0.743333333
Humphreys,2022-2023,291468,0,0,29.66783333,0.866666667
Humphreys,2023-2024,156316,0,4,19.87916667,6.316666667
Jackson,2019-2020,49371.16,36,3,212.4166667,162.8333333
Jackson,2020-2021,65207,0,0,148.75,151.3333333
Jackson,2021-2022,55029,21040,0,230.0291667,129.9
Jackson,2022-2023,173736,0,0,2330.508333,3239.240833
Jackson,2023-2024,209552,0,1,621.2333333,457.6916667
Jefferson,2019-2020,141480,3825,0,47.54,384.6583333
Jefferson,2020-2021,90670,2665,0,45.595,3.945833333
Jefferson,2021-2022,89220,2398,0,43.79166667,2.3
Jefferson,2022-2023,82920,1750,0,42.04833333,0.7
Jefferson,2023-2024,58680,1350,0,23.9325,0.708333333
Johnson,2019-2020,16980,1,15,7,1
Johnson,2020-2021,13740,0,8,5,0
Johnson,2021-2022,32510,125,41,17.41666667,0
Johnson,2022-2023,31030,0,21,11.66666667,1.666666667
Johnson,2023-2024,53360,0,19,18.83333333,1.416666667
Knox,2019-2020,116608,44876,271,60.80833333,0
Knox,2020-2021,168711,33150,232,62.41666667,0
Knox,2021-2022,157566,35908,197,58.35833333,0
Knox,2022-2023,121735,61062,260,52.47916667,0
Knox,2023-2024,98454,48610,227,50.66666667,0
Lake,2019-2020,37370,67370,0,33,11.5
Lake,2020-2021,41595,40745,0,20.45833333,3.833333333
Lake,2021-2022,41210,41210,0,21.38333333,1.541666667
Lake,2022-2023,37270,36055,0,71.20833333,0.916666667
Lake,2023-2024,43935,36915,0,36.08333333,0
Lauderdale,2019-2020,159730,6481,44,749.6666667,0
Lauderdale,2020-2021,140895,6393,20,787.25,0
Lauderdale,2021-2022,129723.5,6073.1,0,769.3333333,1032.5
Lauderdale,2022-2023,187751,7746.5,0,1016.666667,0
Lauderdale,2023-2024,169908,7816.1,0,1099.833333,0
Lawrence,2019-2020,63446,0,0,12.75,0
Lawrence,2020-2021,51570,0,0,14.5,0
Lawrence,2021-2022,43166,0,0,13.16666667,0
Lawrence,2022-2023,40480,0,0,21.66666667,0
Lawrence,2023-2024,39000,0,0,18.5,0
Lewis,2019-2020,264815,304,16,657.5,528.9166667
Lewis,2020-2021,216770,239,57,642.8833333,462.5833333
Lewis,2021-2022,228300,0,302,499.9766667,402.7
Lewis,2022-2023,369480,0,477,493.0166667,449.9416667
Lewis,2023-2024,192119,0,2,3602.266667,475.6
Lincoln,2019-2020,63890,0,30,17.14583333,5.820833333
Lincoln,2020-2021,0,0,0,0,0
Lincoln,2021-2022,81560,0,27,18.16666667,9.925
Lincoln,2022-2023,141960,0,128,35.63333333,17.26666667
Lincoln,2023-2024,227600,0,102,30.49166667,15.41666667
Loudon,2019-2020,183142,0,0,27.35,17.225
Loudon,2020-2021,122498,0,0,18.97083333,8.654166667
Loudon,2021-2022,125050,0,0,14.30833333,9.758333333
Loudon,2022-2023,238542,130680,0,30.09583333,13.06666667
Loudon,2023-2024,157116,0,0,23.59166667,6.475
Macon,2019-2020,43708,1348,0,5,2.666666667
Macon,2020-2021,49300,4820,2,4.916666667,2.333333333
Macon,2021-2022,71221,500,0,5.166666667,3.833333333
Macon,2022-2023,85729,0,1,6.666666667,5.25
Macon,2023-2024,75735,0,0,6.25,4.166666667
Madison,2019-2020,109160,108480,32,20.16666667,0
Madison,2020-2021,139540,131540,14,31,0
Madison,2021-2022,103010,103010,6,27.33333333,0
Madison,2022-2023,101081,37552,43,24.87916667,1.033333333
Madison,2023-2024,75540,0,100,17.1,0.05
Marion,2019-2020,140900,0,1,1113,0
Marion,2020-2021,235480,0,0,1156.916667,0
Marion,2021-2022,164640,0,0,988.75,0
