county,year,litter,recycled,dumps,partners,volunteer_hours,county_road_miles,litter_per_mile,recycled_per_mile
Davidson,2022-2023,3915460.0,0.0,0,4080,11550.0,12948.0,302.39882607352484,0.0
Davidson,2023-2024,4504900.0,0.0,0,1722,6823.9,12948.0,347.9224590670374,0.0
DeKalb,2019-2020,203760.0,64280.0,0,0,0.0,2230.0,91.37219730941705,28.82511210762332
DeKalb,2020-2021,268225.0,0.0,0,0,0.0,2230.0,120.28026905829596,0.0
DeKalb,2021-2022,165250.0,0.0,0,0,0.0,2230.0,74.10313901345292,0.0
DeKalb,2022-2023,241622.0,0.0,2,0,0.0,2230.0,108.3506726457399,0.0
DeKalb,2023-2024,316300.0,0.0,0,0,0.0,2230.0,141.83856502242153,0.0
Decatur,2019-2020,66009.0,58584.0,2,0,0.0,413.41,159.66957741709197,141.7091991001669
Decatur,2020-2021,70620.0,70620.0,0,0,0.0,413.41,170.82315376986526,170.82315376986526
Decatur,2021-2022,84606.0,84606.0,0,0,0.0,413.41,204.65397547229142,204.65397547229142
Decatur,2022-2023,133970.0,133970.0,0,0,0.0,413.41,324.06085967925304,324.06085967925304
Decatur,2023-2024,69697.0,69697.0,0,0,0.0,413.41,168.5905033743741,168.5905033743741
Dickson,2019-2020,266740.0,530.0,50,0,0.0,98.8,2699.7975708502026,5.364372469635628
Dickson,2020-2021,226620.0,937.0,90,0,0.0,98.8,2293.724696356275,9.483805668016194
Dickson,2021-2022,208898.0,677.0,107,0,0.0,98.8,2114.3522267206476,6.852226720647773
Dickson,2022-2023,190180.0,1071.0,197,0,0.0,98.8,1924.8987854251013,10.84008097165992
Dickson,2023-2024,221890.0,568.0,147,0,0.0,98.8,2245.8502024291497,5.748987854251013
Dyer,2019-2020,115928.5,115928.5,10,0,0.0,145.0,799.5068965517241,799.5068965517241
Dyer,2020-2021,155975.0,155475.0,14,2,0.0,145.0,1075.6896551724137,1072.2413793103449
Dyer,2021-2022,107287.0,107287.0,1,0,0.0,145.0,739.9103448275862,739.9103448275862
Dyer,2022-2023,61140.0,55605.0,7,0,0.0,145.0,421.6551724137931,383.48275862068965
Dyer,2023-2024,61628.0,61628.0,3,0,0.0,145.0,425.0206896551724,425.0206896551724
Fayette,2019-2020,63780.0,0.0,21,15,71.0,113.07,564.0753515521359,0.0
Fayette,2020-2021,91080.0,0.0,15,1,16.0,113.07,805.5187052268507,0.0
Fayette,2021-2022,79400.0,0.0,3,0,0.0,113.07,702.2198638011852,0.0
Fayette,2022-2023,71900.0,0.0,0,0,0.0,113.07,635.8892721323075,0.0
Fayette,2023-2024,97960.0,0.0,1,0,0.0,113.07,866.3659679844345,0.0
Fentress,2019-2020,112962.5,0.0,1,0,0.0,220.0,513.4659090909091,0.0
Fentress,2020-2021,138141.0,0.0,0,0,0.0,220.0,627.9136363636363,0.0
Fentress,2021-2022,145321.0,0.0,0,0,0.0,220.0,660.55,0.0
Fentress,2022-2023,184832.0,21.3,1,18,4.0,220.0,840.1454545454545,0.09681818181818182
Fentress,2023-2024,102735.0,0.0,0,0,0.0,220.0,466.97727272727275,0.0
Franklin,2019-2020,246020.0,1.0,25,0,0.0,2480.0,99.20161290322581,0.0004032258064516129
Franklin,2020-2021,92700.0,0.0,45,0,0.0,2480.0,37.37903225806452,0.0
Franklin,2021-2022,37960.0,0.0,11,0,0.0,2480.0,15.306451612903226,0.0
Franklin,2022-2023,91800.0,0.0,14,0,0.0,2480.0,37.016129032258064,0.0
Franklin,2023-2024,243870.0,0.0,0,0,0.0,2480.0,98.33467741935483,0.0
Gibson,2019-2020,92550.0,66680.0,64,0,0.0,134.52,688.0017841213202,495.688373476063
Gibson,2020-2021,96960.0,0.0,54,0,0.0,134.52,720.7850133809098,0.0
Gibson,2021-2022,75940.0,0.0,60,0,0.0,134.52,564.5257210823669,0.0
Gibson,2022-2023,98990.0,0.0,49,0,0.0,134.52,735.8757062146892,0.0
Gibson,2023-2024,111510.0,0.0,29,0,0.0,134.52,828.9473684210526,0.0
Giles,2019-2020,58020.0,170.0,37,14,14.0,404.0,143.6138613861386,0.4207920792079208
Giles,2020-2021,51360.0,93.0,30,41,33.0,404.0,127.12871287128714,0.2301980198019802
Giles,2021-2022,76240.0,10.0,22,316,66.0,404.0,188.7128712871287,0.024752475247524754
Giles,2022-2023,79380.0,0.0,43,33,122.0,404.0,196.4851485148515,0.0
Giles,2023-2024,58690.0,295.0,67,3,0.0,404.0,145.27227722772278,0.7301980198019802
Grainger,2019-2020,83380.0,83380.0,22,0,0.0,162.9,511.8477593615715,511.8477593615715
Grainger,2020-2021,49980.0,29920.0,0,0,0.0,162.9,306.81399631675873,183.670963781461
Grainger,2021-2022,164780.0,164780.0,3,0,0.0,162.9,1011.5408225905463,1011.5408225905463
Grainger,2022-2023,140466.0,141466.0,22,0,0.0,162.9,862.2836095764272,868.4223449969306
Grainger,2023-2024,171264.0,153036.0,24,0,0.0,162.9,1051.3443830570902,939.4475138121546
Greene,2019-2020,652793.0,102415.0,63,448,453.0,92.5,7057.221621621622,1107.1891891891892
Greene,2020-2021,635395.0,96545.0,62,218,216.0,92.5,6869.135135135135,1043.7297297297298
Greene,2021-2022,604150.0,91134.0,62,275,283.0,92.5,6531.351351351352,985.2324324324325
Greene,2022-2023,771340.0,97390.0,89,204,235.0,92.5,8338.81081081081,1052.8648648648648
Greene,2023-2024,675765.0,92415.0,76,302,367.0,92.5,7305.5675675675675,999.081081081081
Grundy,2019-2020,102650.0,0.0,0,0,0.0,930.0,110.3763440860215,0.0
Grundy,2020-2021,111100.0,0.0,0,0,0.0,930.0,119.46236559139786,0.0
Grundy,2021-2022,72800.0,0.0,0,0,0.0,930.0,78.27956989247312,0.0
Grundy,2022-2023,66000.0,0.0,0,0,0.0,930.0,70.96774193548387,0.0
Grundy,2023-2024,54760.0,0.0,0,0,0.0,930.0,58.88172043010753,0.0
Hamblen,2019-2020,55720.0,35100.0,3,278,705.1,548.7,101.54911609258247,63.969382176052484
Hamblen,2020-2021,60040.0,175412.0,1,243,429.75,548.7,109.42227082194276,319.6865318024421
Hamblen,2021-2022,54731.0,8897.0,1,214,627.0,548.7,99.74667395662475,16.214689265536723
Hamblen,2022-2023,81660.0,71544.0,0,302,597.0,548.7,148.824494259158,130.38819026790594
Hamblen,2023-2024,74120.0,0.0,1,253,730.5,548.7,135.08292327319117,0.0
Hamilton,2019-2020,134651.65,0.0,0,4324,10824.0,52.8,2550.220643939394,0.0
Hamilton,2020-2021,108395.0,0.0,0,2159,8969.0,52.8,2052.935606060606,0.0
Hamilton,2021-2022,160972.0,0.0,0,3053,11388.0,52.8,3048.7121212121215,0.0
Hamilton,2022-2023,185707.0,1.0,0,3696,15118.0,52.8,3517.1780303030305,0.01893939393939394
Hamilton,2023-2024,198338.0,0.0,0,1873,10008.0,52.8,3756.4015151515155,0.0
Hancock,2019-2020,82840.0,82840.0,0,0,0.0,97.8,847.0347648261759,847.0347648261759
Hancock,2020-2021,83290.0,83290.0,0,0,0.0,97.8,851.6359918200409,851.6359918200409
Hancock,2021-2022,48945.0,48945.0,0,0,0.0,97.8,500.46012269938655,500.46012269938655
Hancock,2022-2023,75892.0,75892.0,3,0,0.0,97.8,775.9918200408998,775.9918200408998
Hancock,2023-2024,37063.0,37063.0,2,0,0.0,97.8,378.9672801635992,378.9672801635992
Hardeman,2019-2020,0.0,0.0,0,0,0.0,1107.0,0.0,0.0
Hardeman,2020-2021,1720.0,0.0,0,0,0.0,1107.0,1.5537488708220415,0.0
Hardeman,2021-2022,8285.0,0.0,4,0,0.0,1107.0,7.484191508581753,0.0
Hardeman,2022-2023,249180.0,0.0,3,27,18.0,1107.0,225.09485094850947,0.0
Hardeman,2023-2024,167800.0,0.0,1,1,81.0,1107.0,151.58084914182476,0.0
Hardin,2019-2020,70005.0,14344.0,0,0,0.0,87.8,797.3234624145786,163.37129840546697
Hardin,2020-2021,64440.0,0.0,0,0,0.0,87.8,733.9407744874716,0.0
